text,label
Bài báo này đưa tin chính xác về chính phủ.,real
Đây là tin giả lan truyền trên Facebook.,fake
Một nghiên cứu khoa học được công bố bởi đại học.,real
Tin tức sai sự thật về dịch bệnh.,fake
Bài viết về sự kiện thể thao chính thống.,real
Thông tin bịa đặt về nhân vật nổi tiếng.,fake
Bản tin từ VTV xác nhận số liệu kinh tế.,real
Trang mạng không rõ nguồn gốc tung tin thất thiệt.,fake
Thông cáo báo chí chính thức của bộ y tế.,real
Người dùng chia sẻ tin giả về bão lũ.,fake
Bài báo quốc tế được xuất bản bởi tạp chí uy tín.,real
Một tài khoản ẩn danh đăng tin sai lệch.,fake
Thông tin từ cổng thông tin chính phủ.,real
Tin giả lan truyền trên mạng xã hội TikTok.,fake
Kết quả bóng đá được công bố từ FIFA.,real
Trang blog cá nhân bịa đặt câu chuyện chính trị.,fake
Số liệu từ Tổng cục Thống kê.,real
Hình ảnh giả mạo lan truyền trong cộng đồng.,fake
Thông tin giáo dục đăng trên báo Tuổi Trẻ.,real
Bài đăng vu khống nhân vật công chúng.,fake
